date, pm25, pm10, o3, no2, so2, co
30/07/2016,61,19,17,15,8,6
31/07/2016,68,24,25,13,7,6
01/08/2016,60,20,26,14,2,6
02/08/2016,68,25,21,14,7,6
03/08/2016,70,26,23,16,2,6
04/08/2016,66,24,22,17,3,5
05/08/2016,79,35,21,20,4,6
06/08/2016,72,25,28,18,2,6
07/08/2016,68,16,3,19,1,5
08/08/2016,59, , , , , 
09/08/2016,74,25,20,14,2,6
10/08/2016,92,35,22,17,4,7
11/08/2016,75,37,16,13,5,6
12/08/2016,63,24,17,12,2,4
13/08/2016,65,25,16,13,3,4
14/08/2016,68,28,15,11,2,5
15/08/2016,68,29,12,15,2,6
16/08/2016,68,29,18,14,2,6
17/08/2016,75,40,21,13,3,5
18/08/2016,85,45,17,19,4,6
19/08/2016,81,42,15,18,2,6
20/08/2016,73,37,20,12,3,6
21/08/2016,79,43,30,15,3,6
22/08/2016,72,34,20,14,2,7
23/08/2016,74,34,22,16,2,10
24/08/2016,78,21,25,16,2,8
25/08/2016,81,25,29,19,3,11
26/08/2016,74,22,29,17,3,10
27/08/2016,63,19,21,11,2,7
28/08/2016,66,19,27,19,2,4
29/08/2016,57,23,14,12,1,2
30/08/2016,53,25,7,7, , 
31/08/2016,57,32,8,6,1, 
01/09/2016,63,36,8,8,1, 
02/09/2016,62,29,9,8,2, 
03/09/2016,49,17,17,7, , 
04/09/2016,49,16,13,7,1, 
05/09/2016,50,18,9,8,3, 
06/09/2016,54,17,14,7,1, 
07/09/2016,56,21,8,8,1, 
08/09/2016,62,27,13,9,1, 
09/09/2016,79,35,15,12,1, 
10/09/2016,62,26,14,9,1, 
11/09/2016,63,27,9,8, , 
12/09/2016,63,32,5,10,1, 
13/09/2016,67,32,8,11,1, 
14/09/2016,59,24,11,9,1, 
15/09/2016,77,32,13,10,1, 
16/09/2016,61,28,9,16,1, 
17/09/2016,65,18,13,10,1, 
18/09/2016,49,19,11,9, , 
19/09/2016,60,25,14,15, , 
20/09/2016,87,40,3,20,1, 
21/09/2016,84,29,7,15,1, 
22/09/2016,92,35,13,15, , 
23/09/2016,97,37,9,18,1, 
24/09/2016,88,38,18,15,1, 
25/09/2016,54,20,19,10,1, 
26/09/2016,52,29,18,11,1, 
27/09/2016,46,21,10,11,1, 
28/09/2016,54,22,18,9,1, 
29/09/2016,51,22,16,9,1, 
30/09/2016,49,21,15,11,1, 
01/10/2016,50,22,8,11, , 
02/10/2016,73,26,12,12,1, 
03/10/2016,60,27,13,14,1, 
04/10/2016,66,31,9,20,1, 
05/10/2016,83,30,7,13, , 
06/10/2016,87,24,9,10, , 
07/10/2016,69,22,9,9, , 
08/10/2016,65,23,10,12, , 
09/10/2016,69,26,13,12,1, 
10/10/2016,67,39,14,16,1, 
11/10/2016,87,45,14,16,1, 
12/10/2016,97,55,21,18,1, 
13/10/2016,121,50,21,15,1, 
14/10/2016,115,45,20,16,1, 
15/10/2016,100,32,6,14, , 
